config,interval,d,k,n_batches,status
AAPL_500ms50ms_d10_k15,500ms50ms,10,15,0,insufficient_data
AAPL_500ms50ms_d10_k30,500ms50ms,10,30,0,insufficient_data
AAPL_500ms50ms_d10_k60,500ms50ms,10,60,0,insufficient_data
AAPL_500ms50ms_d20_k15,500ms50ms,20,15,0,insufficient_data
AAPL_500ms50ms_d20_k30,500ms50ms,20,30,0,insufficient_data
AAPL_500ms50ms_d20_k60,500ms50ms,20,60,0,insufficient_data
AAPL_500ms50ms_d50_k15,500ms50ms,50,15,0,insufficient_data
AAPL_500ms50ms_d50_k30,500ms50ms,50,30,0,insufficient_data
AAPL_500ms50ms_d50_k60,500ms50ms,50,60,0,insufficient_data
AAPL_500ms50ms_d100_k15,500ms50ms,100,15,0,insufficient_data
AAPL_500ms50ms_d100_k30,500ms50ms,100,30,0,insufficient_data
AAPL_500ms50ms_d100_k60,500ms50ms,100,60,0,insufficient_data
AAPL_10ms_d10_k15,10ms,10,15,0,insufficient_data
AAPL_10ms_d10_k30,10ms,10,30,0,insufficient_data
AAPL_10ms_d10_k60,10ms,10,60,0,insufficient_data
AAPL_10ms_d20_k15,10ms,20,15,0,insufficient_data
AAPL_10ms_d20_k30,10ms,20,30,0,insufficient_data
AAPL_10ms_d20_k60,10ms,20,60,0,insufficient_data
AAPL_10ms_d50_k15,10ms,50,15,0,insufficient_data
AAPL_10ms_d50_k30,10ms,50,30,0,insufficient_data
AAPL_10ms_d50_k60,10ms,50,60,0,insufficient_data
AAPL_10ms_d100_k15,10ms,100,15,0,insufficient_data
AAPL_10ms_d100_k30,10ms,100,30,0,insufficient_data
AAPL_10ms_d100_k60,10ms,100,60,0,insufficient_data
AAPL_1ms_d10_k15,1ms,10,15,0,insufficient_data
AAPL_1ms_d10_k30,1ms,10,30,0,insufficient_data
AAPL_1ms_d10_k60,1ms,10,60,0,insufficient_data
AAPL_1ms_d20_k15,1ms,20,15,0,insufficient_data
AAPL_1ms_d20_k30,1ms,20,30,0,insufficient_data
AAPL_1ms_d20_k60,1ms,20,60,0,insufficient_data
AAPL_1ms_d50_k15,1ms,50,15,0,insufficient_data
AAPL_1ms_d50_k30,1ms,50,30,0,insufficient_data
AAPL_1ms_d50_k60,1ms,50,60,0,insufficient_data
AAPL_1ms_d100_k15,1ms,100,15,0,insufficient_data
AAPL_1ms_d100_k30,1ms,100,30,0,insufficient_data
AAPL_1ms_d100_k60,1ms,100,60,0,insufficient_data
